date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2024-11-01,43.0,25.675643,21.275144,30.1893,910.8112,-8.56,818.93,0.0,0.0,0.0
2024-11-04,41.0,23.655353,24.284742,36.261071,907.8792,-10.78,806.14,-1.020284900284878,-0.2040569800569756,-0.8162279202279024
2024-11-05,42.0,23.642822,27.161557,40.618205,904.9898,-4.81,806.06,-1.8144079999350424,-0.526127184032589,-1.2882808159024535
2024-11-06,38.0,19.512861,30.188555,46.642451,901.4278,-6.43,776.38,-4.783542531000876,-1.3776102534262464,-3.4059322775746295
2024-11-07,44.0,28.995281,32.999339,49.497996,898.398,-2.62,797.45,-5.3744765079782155,-2.1769835043366403,-3.197493003641575
2024-11-08,50.0,41.088455,33.235031,48.59308,896.2248,3.15,831.54,-3.0567811736102612,-2.3529430381913645,-0.7038381354188967
2024-11-11,50.0,41.372348,33.453889,47.282427,893.6732,3.27,832.44,-1.1342930207737254,-2.1092130347078366,0.9749200139341112
2024-11-12,48.0,38.367896,33.957673,46.997031,890.9198,5.47,818.86,-0.6984485361208499,-1.8270601349904394,1.1286115988695895
2024-11-13,47.0,36.870925,34.425473,46.341358,888.2298,1.8,811.81,-0.9114085719498917,-1.64392982238233,0.7325212504324383
2024-11-14,43.0,31.993379,35.423751,46.440427,885.6994,-5.45,786.23,-3.1084409809675435,-1.9368320540993729,-1.1716089268681706
2024-11-15,38.0,26.161048,36.970652,48.737085,882.5692,-10.36,746.2,-7.987615193377678,-3.146988681955034,-4.840626511422644
2024-11-18,36.0,23.931089,38.809578,52.173158,878.9478,-11.19,727.2,-13.234972594059514,-5.16458546437593,-8.070387129683583
2024-11-19,37.0,24.849684,40.517152,53.471451,875.5174,-10.11,729.73,-16.993500784404887,-7.530368528381722,-9.463132256023165
2024-11-20,42.0,33.004411,40.792429,52.126699,872.1678,-4.17,753.41,-17.855555625451416,-9.595405947795662,-8.260149677655754
2024-11-21,42.0,32.445604,41.056135,50.884713,868.4658,0.5,749.92,-18.605877160454384,-11.397500190327406,-7.208376970126977
2024-11-22,42.0,32.125032,40.909085,48.566314,864.9518,2.86,748.01,-19.134067797160924,-12.944813711694112,-6.189254085466812
2024-11-25,43.0,34.669041,40.878988,44.327564,861.581,3.46,755.0,-18.772233477803752,-14.11029766491604,-4.661935812887712
2024-11-26,48.0,45.474921,38.718651,36.474747,859.2438,4.77,789.32,-15.537038686537585,-14.395645869240349,-1.1413928172972359
2024-11-27,48.0,45.209773,36.712623,33.89861,856.9082,5.1,788.19,-12.915424092963917,-14.099601513985064,1.1841774210211469
