date,FGIndex,rsi,adx,standard_deviation,sma50,five_day_percentage,price,macd,macd_signal,macd_hist
2024-11-04,41.0,46.658709,16.113934,3.447687,99.0536,-5.96,101.73,0.0,0.0,0.0
2024-11-05,46.0,52.703329,14.971841,3.361922,99.1852,1.35,105.49,0.2999430199430293,0.059988603988605865,0.23995441595442343
2024-11-06,53.0,60.774862,15.331254,3.428051,99.4646,12.22,111.83,1.03727794417253,0.25544647202539067,0.7818314721471393
2024-11-07,54.0,62.492749,15.935857,3.728168,99.8356,13.72,113.41,1.7291810563845615,0.5501933888972249,1.1789876674873367
2024-11-08,52.0,59.797397,16.268836,3.880314,100.1622,10.0,111.9,2.131108781834058,0.8663764674845915,1.2647323143494666
2024-11-11,47.0,54.362668,15.572543,3.885413,100.4104,3.0,108.65,2.16246402220807,1.1255939784292872,1.0368700437787828
2024-11-12,41.0,47.811209,15.018239,3.893925,100.7208,-6.91,104.1,1.7994236661226637,1.2603599159679626,0.5390637501547011
2024-11-13,29.0,42.717934,14.930688,4.171433,100.9334,-11.89,99.92,1.161036792652638,1.2404952913048977,-0.07945849865225973
2024-11-14,28.0,41.867608,15.08122,4.294831,101.1292,-11.37,99.18,0.5886136092484691,1.1101189548936121,-0.5215053456451431
2024-11-15,26.0,38.68496,15.729975,4.625191,101.3284,-11.33,96.34,-0.0931266468003713,0.8694698345548155,-0.9625964813551868
2024-11-18,28.0,40.685394,16.351199,4.842741,101.5532,-6.33,97.51,-0.5328590223736995,0.5890040631691126,-1.1218630855428122
2024-11-19,28.0,41.074691,16.894939,5.022621,101.7708,-2.19,97.73,-0.8537563648043687,0.30045197757441633,-1.154208342378785
2024-11-20,29.0,42.26189,17.288229,5.180051,101.9252,-0.82,98.37,-1.044388113263679,0.03148395940679727,-1.0758720726704762
2024-11-21,42.0,49.741827,16.290891,5.142022,102.2362,6.66,102.76,-0.8316421827031633,-0.14114126901519486,-0.6905009136879684
2024-11-22,41.0,49.552857,15.257091,5.056045,102.4646,5.26,102.64,-0.6650561438571287,-0.24592424398358165,-0.4191318998735471
